"","text"
"1"," id quote rating date reviewnospace "
"2"," rn indonesia yesterday"
"3"," rn efficient ground crew late lttle cramp budget days ago"
"4"," rn late usual days ago"
"5"," rn mr days ago"
"6"," rn time small plane light landing week ago"
"7"," rn communication awful fine week ago"
"8"," fact changed hrs early actual fine realised checked online taking check checking online avoiding annoyance missing knew check "
"9"," rn kg baggage option upgarde online week ago"
"10"," gonna book flights found impossible answer baggage shows kg good flying overseas carriers offee heavier baggage charge shows booked flights carriers "
"11"," rn pay week ago"
"12"," rn swindler week ago"
"13"," buy ticket higher price arrived earlier yesterday evening pm called inform change changed arrived hours late supposed ’ve cost "
"14"," budget airlines gonna give free kgs luggage person cheap price online check international "
"15"," rn time weeks ago"
"16"," rn cheap free baggage meal weeks ago"
"17"," smooth dps jt july return jt july mess scheduled depart jakarta dps departed response staff checking ’ light snack box sitting "
"18"," delay normal thing stands late flying supposed plane hours delayed excellent apologies smile empathy food cold bread cake hard exceptional service passengers played "
"19"," rn pay weeks ago"
"20"," ’ make simple pay service bag plane safe destination sell water snack board flights delayed destination money expect long queuing lines "
"21"," rn legless weeks ago"
"22"," rn weeks ago"
"23"," title hrs late lucky didn connecting check slow messy seats comfortable clean honest worried safety due min bad weather incidents "
"24"," recommended reason interconnecting bali surabaya delayed late afternoon pm pool passengers morning late afternoon flights big airplane save fuel money pilots fly "
"25"," rn time july "
"26"," rn flying july "
"27"," rn option fly everwhere indonesia july "
"28"," rn july "
"29"," rn july "
"30"," unprofessional services staff delays flights hours recommended fly "
"31"," rn changed times july "
"32"," rn schedule june "
"33"," visiting bromo exotica bromo back lampung transit cengkareng soekarno hatta international airport flew jt malang schedule board schedule usual dont space knee seated "
"34"," rn acoustic guitar carry june "
"35"," cheap luggage included add charges included staff great "
"36"," rn dont fly june "
"37"," rn late ’ company motto june "
"38"," ’ frequent traveler traveled regular sized carry suitcase inside cabin morning boarding gate ground crew decided rudely allowed inside cabin baggage insisted "
"39"," rn june "
"40"," rn budget airlines indonesia june "
"41"," shock flew airbus nice experience things emergency seat checking counter favorite budget airlines "
"42"," company extensive armada indonesia low cost wings standard service batik company sister company malaysia malindo langkawi thailand thai australia aussie batik review low time performance otp "
"43"," flew bad time airport booked ticket day departure price displaying online booked online great "
"44"," rn mr june "
"45"," rn king june "
"46"," choice don fly weren group choice top tip charge hour late pretty standard poor management passengers loading england call bun fight dirty boeing er scuffed seats "
"47"," rn budget june "
"48"," rn june "
"49"," rn returned jakarta "
"50"," rn time ll ferry lombok "
"51"," delayed hours arrived lombok dark hotel shuttle left office offered meal voucher needed transport food luckely lady helped stay lombok start good "
"52"," rn budget airlines "
"53"," soo time made delay schedule ussually operational reasonbut profesional reason delayed handlingfor times passangger walk stay airplane sitt number cond compliment menit hot leaving runway airportif "
"54"," indonesian airlines cheap price services good people complain airlines excellent service choose airlines "
"55"," rn maskapai lcc "
"56"," rn tight schedule "
"57"," rn budget "
"58"," rn normal "
"59"," rn budget rate service conventional carrier "
"60"," rn budget flights "
"61"," rn "
"62"," rn "
"63"," rn make people wait "
"64"," rn experience "
"65"," rn wondering "
"66"," rn economic "
"67"," rn don fly "
"68"," rn destination "
"69"," fuss destination local budget run efficiently serves purposes "
"70"," rn time "
"71"," late leaving denpasar airport place driven bus terminal climb stairs thing plane refreshments heat sitting extremely overpriced warm water yogjakarta arrival circled ages receiving luggage "
"72"," rn fan "
"73"," rn batik "
"74"," rn time "
"75"," rn mr "
"76"," reading reviews caused draft testament number failed indonesian pilots jobs flights time hour late staff things apologise hand promised rewards "
"77"," save time pay opt earliest flights "
"78"," rn craft frill april "
"79"," rn story punctuality april "
