"","classification","score","text"
"1","Neutral",0," id quote rating date reviewnospace "
"2","Neutral",0," rn indonesia yesterday"
"3","Neutral",0," rn efficient ground crew late lttle cramp budget days ago"
"4","Neutral",0," rn late usual days ago"
"5","Neutral",0," rn mr days ago"
"6","Neutral",0," rn time small plane light landing week ago"
"7","Neutral",0," rn communication awful fine week ago"
"8","Neutral",0," fact changed hrs early actual fine realised checked online taking check checking online avoiding annoyance missing knew check "
"9","Neutral",0," rn kg baggage option upgarde online week ago"
"10","Neutral",0," gonna book flights found impossible answer baggage shows kg good flying overseas carriers offee heavier baggage charge shows booked flights carriers "
"11","Neutral",0," rn pay week ago"
"12","Neutral",0," rn swindler week ago"
"13","Neutral",0," buy ticket higher price arrived earlier yesterday evening pm called inform change changed arrived hours late supposed ’ve cost "
"14","Neutral",0," budget airlines gonna give free kgs luggage person cheap price online check international "
"15","Neutral",0," rn time weeks ago"
"16","Neutral",0," rn cheap free baggage meal weeks ago"
"17","Neutral",0," smooth dps jt july return jt july mess scheduled depart jakarta dps departed response staff checking ’ light snack box sitting "
"18","Neutral",0," delay normal thing stands late flying supposed plane hours delayed excellent apologies smile empathy food cold bread cake hard exceptional service passengers played "
"19","Neutral",0," rn pay weeks ago"
"20","Neutral",0," ’ make simple pay service bag plane safe destination sell water snack board flights delayed destination money expect long queuing lines "
"21","Neutral",0," rn legless weeks ago"
"22","Neutral",0," rn weeks ago"
"23","Neutral",0," title hrs late lucky didn connecting check slow messy seats comfortable clean honest worried safety due min bad weather incidents "
"24","Neutral",0," recommended reason interconnecting bali surabaya delayed late afternoon pm pool passengers morning late afternoon flights big airplane save fuel money pilots fly "
"25","Neutral",0," rn time july "
"26","Neutral",0," rn flying july "
"27","Neutral",0," rn option fly everwhere indonesia july "
"28","Neutral",0," rn july "
"29","Neutral",0," rn july "
"30","Neutral",0," unprofessional services staff delays flights hours recommended fly "
"31","Neutral",0," rn changed times july "
"32","Neutral",0," rn schedule june "
"33","Neutral",0," visiting bromo exotica bromo back lampung transit cengkareng soekarno hatta international airport flew jt malang schedule board schedule usual dont space knee seated "
"34","Neutral",0," rn acoustic guitar carry june "
"35","Neutral",0," cheap luggage included add charges included staff great "
"36","Neutral",0," rn dont fly june "
"37","Neutral",0," rn late ’ company motto june "
"38","Neutral",0," ’ frequent traveler traveled regular sized carry suitcase inside cabin morning boarding gate ground crew decided rudely allowed inside cabin baggage insisted "
"39","Neutral",0," rn june "
"40","Neutral",0," rn budget airlines indonesia june "
"41","Neutral",0," shock flew airbus nice experience things emergency seat checking counter favorite budget airlines "
"42","Neutral",0," company extensive armada indonesia low cost wings standard service batik company sister company malaysia malindo langkawi thailand thai australia aussie batik review low time performance otp "
"43","Neutral",0," flew bad time airport booked ticket day departure price displaying online booked online great "
"44","Neutral",0," rn mr june "
"45","Neutral",0," rn king june "
"46","Neutral",0," choice don fly weren group choice top tip charge hour late pretty standard poor management passengers loading england call bun fight dirty boeing er scuffed seats "
"47","Neutral",0," rn budget june "
"48","Neutral",0," rn june "
"49","Neutral",0," rn returned jakarta "
"50","Neutral",0," rn time ll ferry lombok "
"51","Neutral",0," delayed hours arrived lombok dark hotel shuttle left office offered meal voucher needed transport food luckely lady helped stay lombok start good "
"52","Neutral",0," rn budget airlines "
"53","Neutral",0," soo time made delay schedule ussually operational reasonbut profesional reason delayed handlingfor times passangger walk stay airplane sitt number cond compliment menit hot leaving runway airportif "
"54","Neutral",0," indonesian airlines cheap price services good people complain airlines excellent service choose airlines "
"55","Neutral",0," rn maskapai lcc "
"56","Neutral",0," rn tight schedule "
"57","Neutral",0," rn budget "
"58","Neutral",0," rn normal "
"59","Neutral",0," rn budget rate service conventional carrier "
"60","Neutral",0," rn budget flights "
"61","Neutral",0," rn "
"62","Neutral",0," rn "
"63","Neutral",0," rn make people wait "
"64","Neutral",0," rn experience "
"65","Neutral",0," rn wondering "
"66","Neutral",0," rn economic "
"67","Neutral",0," rn don fly "
"68","Neutral",0," rn destination "
"69","Neutral",0," fuss destination local budget run efficiently serves purposes "
"70","Neutral",0," rn time "
